"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection","sex|gender","plus group"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",846,77,8,36,44,56,43,4,2,2,0,1327,0,0,22,7,0,3,0
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",945,56,14,32,40,72,38,14,0,1,0,1440,0,9,16,1,0,11,1
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",647,44,7,22,25,57,21,4,2,3,0,1131,0,0,17,9,1,2,1
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",1207,9,4,4,5,98,126,5,0,3,0,1780,0,0,18,20,0,12,7
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",2226,134,9,286,309,296,124,19,4,5,0,4009,0,1,77,3,4,4,0
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",949,49,5,41,51,126,65,11,2,4,0,1661,0,0,41,8,0,4,0
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",1485,82,22,68,91,169,10,0,0,2,13,2918,0,1,49,2,5,64,1
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",685,49,6,57,62,51,45,12,0,0,0,1254,0,1,24,6,0,1,1
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",2028,164,11,168,181,290,172,5,6,2,0,4139,0,0,95,22,1,9,0
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",355,20,5,24,26,12,24,2,1,0,0,681,0,0,18,3,0,0,0
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",974,33,2,35,66,106,53,0,0,29,0,1701,0,8,3,0,0,0,0
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",1232,113,9,127,142,222,40,8,2,12,5,2686,0,0,44,15,0,4,0
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",1531,148,6,50,70,222,19,1,0,0,31,3456,0,33,10,24,1,35,3
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",3209,31,15,101,147,552,288,38,79,202,1,5366,35,0,3,49,6,19,2
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",633,2,0,14,28,114,110,0,0,0,0,1036,0,2,0,0,0,2,0
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",2265,42,5,162,209,453,105,14,104,141,9,4750,12,1,20,34,1,22,0
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",1144,1,0,20,22,197,0,0,0,52,3,1473,0,0,2,0,0,0,0
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",1369,14,17,50,79,334,146,2,0,0,5,2601,0,1,5,0,0,35,1
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",589,8,14,44,52,84,47,1,0,0,6,914,0,1,2,0,1,1,0
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",5587,42,2,46,141,695,320,0,0,0,6,7468,0,11,8,3,3,50,0
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",1983,91,8,114,130,325,115,0,0,0,12,4721,0,0,0,15,1,11,2
"22","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/sz-rock-lobster-2019-20-assessment.pdf",1349,11,16,40,65,333,167,2,0,1,9,2589,0,1,11,0,0,35,1
"23","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Torres Strait Spanish mackerel stock assessment with data to June 2021.pdf",1660,40,22,50,52,448,171,8,0,14,10,3618,3,0,2,15,0,7,0
"24","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Barramundi Stock Assessment 2019 Final.pdf",2178,18,41,39,42,479,71,7,0,30,2,3463,0,0,0,4,4,10,0
"25","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Black teatfish stock assessment 2021.pdf",862,9,12,33,34,115,12,0,0,0,1,1228,0,0,0,0,0,1,1
"26","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/blue swimmer crab stock assessment report 2020.pdf",1350,14,21,32,47,231,61,2,0,9,0,1659,0,0,6,0,6,6,0
"27","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/BWF_StockAssessmentReport_2019_FINAL.pdf",2322,51,38,67,74,281,75,0,0,44,1,4973,0,1,149,50,4,26,0
"28","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Common coral trout stock assessment 2020.pdf",1030,22,17,12,14,157,29,3,1,2,0,1907,0,3,20,4,5,7,0
"29","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Eastern king prawn stock assessment report 2020.pdf",881,32,11,42,69,221,93,0,0,39,4,1781,0,0,43,0,0,6,0
"30","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Grey_mackerel_stock_assessment_report_2019_final.pdf",885,8,26,39,41,244,61,0,0,28,0,1739,0,0,1,1,0,4,0
"31","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/King threadfin stock assessment 2020.pdf",1666,90,34,35,52,380,121,6,5,12,3,3765,0,0,25,9,1,9,1
"32","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mudcrab Catch-MSY Final.pdf",676,4,8,2,7,152,10,0,0,31,1,990,0,0,0,0,0,0,0
"33","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Mullet_stock_assessment_report_2018.pdf",886,10,22,27,27,240,89,16,0,20,0,1735,1,0,6,6,0,24,0
"34","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/redthroat emperor stock assessment report 2020.pdf",913,31,17,25,27,165,32,3,1,2,0,1947,0,0,17,5,3,16,0
"35","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Saddletail snapper stock assessment report 2021.pdf",1355,44,22,19,21,271,91,24,0,0,2,3207,0,1,26,13,2,36,0
"36","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/SnapperStockAssessment2018V3.pdf",1742,22,32,19,31,607,311,3,0,21,11,4504,0,0,6,5,0,2,0
"37","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel EC stock assessment report 2021.pdf",1452,85,71,50,63,365,154,4,0,6,4,3444,1,0,15,6,11,9,0
"38","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Spanish mackerel GOC stock assessment report 2019.pdf",670,33,31,31,35,208,64,0,0,8,1,1491,0,0,1,0,0,9,0
"39","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland east coast crimson snapper.pdf",1317,94,27,19,26,280,79,5,0,5,0,3278,0,1,18,6,0,15,0
"40","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of Queensland red emperor 2022.pdf",1575,121,40,21,24,384,95,34,0,22,0,4852,0,1,17,5,0,25,0
"41","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1101,42,27,30,35,255,109,1,0,5,3,1763,0,0,0,0,1,0,0
"42","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/stout whiting stock assessment report 2021.pdf",858,46,30,4,7,239,70,1,0,14,0,1474,0,0,17,7,4,3,0
"43","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tailor stock assessment report 2020.pdf",918,90,29,100,102,274,50,4,0,26,7,1957,2,0,2,2,1,4,0
"44","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Tiger prawn stock assessment report 2020.pdf",809,13,12,60,71,213,70,1,0,39,8,1379,0,0,0,0,1,2,0
"45","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/White teatfish stock assessment 2021.pdf",731,22,17,37,41,127,46,0,0,2,0,1254,0,0,0,0,0,1,0
"46","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",18719,719,3,514,649,2169,153,1543,38,820,37,26921,428,7,59,54,8,57,21
"47","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",4945,240,0,176,221,452,13,402,0,136,14,7439,36,3,4,29,1,0,12
"48","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",6066,129,0,78,82,550,80,88,0,23,38,8095,15,4,54,14,1,18,1
"49","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",8102,254,2,120,169,520,16,126,59,409,45,10875,215,0,3,19,7,23,20
"50","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",2111,69,0,37,44,310,6,80,0,48,10,3594,32,1,2,12,0,0,5
"51","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",12799,178,4,132,166,683,51,3373,2,388,6,19156,206,1,4,76,0,117,19
"52","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",4958,15,1,13,14,579,266,254,0,311,37,7983,133,2,15,1,0,16,1
"53","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",1127,21,0,43,48,142,7,5,1,3,8,1712,1,0,1,2,0,0,1
"54","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",249,2,0,0,0,40,1,0,0,0,1,414,0,0,0,2,9,0,0
"55","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",3107,73,5,58,77,299,46,8,1,7,27,4540,0,1,6,43,5,6,1
"56","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",1096,1,0,5,5,118,11,1,0,2,6,1615,0,0,4,0,0,3,0
"57","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",532,1,0,6,6,42,1,0,0,0,0,850,0,0,1,0,0,0,0
"58","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",1104,12,0,5,5,95,4,0,0,0,8,1595,0,0,3,0,0,0,0
"59","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",128,3,0,0,0,23,0,0,0,0,0,168,0,0,0,1,8,0,0
"60","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",1488,32,1,95,120,118,6,0,0,24,4,2074,2,1,3,65,4,41,1
"61","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",2288,54,0,65,74,177,34,0,0,5,10,3047,0,0,34,27,1,0,1
"62","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",152,1,0,0,0,28,0,0,0,0,0,170,0,0,0,0,4,0,0
